35.139;0
35.210;0
35.281;0
35.338;0
35.409;0.36
35.480;26.29
35.551;52.16
35.594;63.08
35.668;77.87
35.727;88.06
35.803;93.87
35.881;92.78
35.929;92.3
36.011;90.68
36.062;89.68
36.148;87.51
36.201;86.57
36.255;85.96
36.328;86.11
36.404;87.33
36.483;89.51
36.543;89.71
36.605;90.36
36.733;90.37
36.894;86.75
36.917;86.05
36.990;84.01
37.092;83.44
37.118;83.37
37.198;82.82
37.253;82.64
37.310;82.09
37.398;81.22
37.490;79.67
37.554;76.69
37.587;75.53
37.654;69.35
37.758;56.76
37.829;47.2
37.866;43.79
37.941;41.73
37.979;42.33
38.057;43.74
38.138;43.31
38.179;42.81
38.263;41.98
38.306;40.99
38.396;36.31
38.489;27.95
38.537;25.52
38.636;21.44
38.789;16.65
38.841;14.95
38.946;12.26
39.054;9.22
39.108;8.39
39.219;6.89
39.278;5.94
39.398;2.21
39.524;0
39.588;0
39.718;0
39.783;0
39.910;0
